2025/03/21 15:20:43 Updated AVAX price: $18.51
2025/03/21 15:20:44 Transaction sent: 0x7d1f2806fed85c415bb1ab83a9902643f82e82d1a9a377e8d735f5c57ff9ce36 (size: 100 bytes, security: 1)
2025/03/21 15:20:49 Transaction 0x7d1f2806fed85c415bb1ab83a9902643f82e82d1a9a377e8d735f5c57ff9ce36 costs calculated: gas: 372822, cost: 0.00932055 AVAX ($0.1725)
2025/03/21 15:20:55 Transaction sent: 0xd7259af56f8b5d46ef9ad58e3792d78701c72175fc906340f0459d034186f3a3 (size: 500 bytes, security: 1)
2025/03/21 15:21:00 Transaction 0xd7259af56f8b5d46ef9ad58e3792d78701c72175fc906340f0459d034186f3a3 costs calculated: gas: 649583, cost: 0.01623957 AVAX ($0.3006)
2025/03/21 15:21:06 Transaction sent: 0x84f22ffe849b961dddc0dfab42ed152e1592aee12c85633eae680e19b70dd8d5 (size: 1000 bytes, security: 1)
2025/03/21 15:21:11 Transaction 0x84f22ffe849b961dddc0dfab42ed152e1592aee12c85633eae680e19b70dd8d5 costs calculated: gas: 1018197, cost: 0.02545492 AVAX ($0.4712)
2025/03/21 15:21:17 Transaction sent: 0xe21fd959ab3a382d6043ef8d1b98b278ec830def967559bca413aa86ff7e5c9f (size: 5000 bytes, security: 1)
2025/03/21 15:21:22 Transaction 0xe21fd959ab3a382d6043ef8d1b98b278ec830def967559bca413aa86ff7e5c9f costs calculated: gas: 3899176, cost: 0.09747940 AVAX ($1.8043)
2025/03/21 15:21:28 Transaction sent: 0x78ae1a47bb64f5dca34905c4295b769f2909a8cbc9e938c0cd67c5c4d3340d22 (size: 10000 bytes, security: 1)
2025/03/21 15:21:33 Transaction 0x78ae1a47bb64f5dca34905c4295b769f2909a8cbc9e938c0cd67c5c4d3340d22 costs calculated: gas: 7495073, cost: 0.18737682 AVAX ($3.4683)
2025/03/21 15:21:39 Failed to upload data (20000 bytes, security 1): failed to send transaction: exceeds block gas limit: tx gas (17766795) > current max gas (15000000)
2025/03/21 15:21:40 Failed to upload data (40000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
2025/03/21 15:21:40 Failed to upload data (80000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
2025/03/21 15:21:41 Failed to upload data (160000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
2025/03/21 15:24:46 Updated AVAX price: $18.58
2025/03/21 15:24:47 Transaction sent: 0xa1b810700eb247073edae8d4e987c59b2213f00adc5908a6184c6c238c3bbf86 (size: 100 bytes, security: 1)
2025/03/21 15:24:52 Transaction 0xa1b810700eb247073edae8d4e987c59b2213f00adc5908a6184c6c238c3bbf86 costs calculated: gas: 372822, cost: 0.00932055 AVAX ($0.1732)
2025/03/21 15:24:58 Transaction sent: 0xa76c5bc47dfbf1d6d1dd4ef3d05df7dea323f6e1f6512e2a36341d4cb163070a (size: 500 bytes, security: 1)
2025/03/21 15:25:03 Transaction 0xa76c5bc47dfbf1d6d1dd4ef3d05df7dea323f6e1f6512e2a36341d4cb163070a costs calculated: gas: 649583, cost: 0.01623957 AVAX ($0.3017)
2025/03/21 15:25:09 Transaction sent: 0x02e5b2e9cf7c6865346f23092f9b1ff945aa88208ac6f1fc2235a5e1721d472b (size: 1000 bytes, security: 1)
2025/03/21 15:25:14 Transaction 0x02e5b2e9cf7c6865346f23092f9b1ff945aa88208ac6f1fc2235a5e1721d472b costs calculated: gas: 1018197, cost: 0.02545492 AVAX ($0.4730)
2025/03/21 15:25:20 Transaction sent: 0xd627fb7b4c7f244807357e0600d458cb065d0f75d30ca4cc4c11a1bc894a4994 (size: 5000 bytes, security: 1)
2025/03/21 15:25:25 Transaction 0xd627fb7b4c7f244807357e0600d458cb065d0f75d30ca4cc4c11a1bc894a4994 costs calculated: gas: 3899176, cost: 0.09747940 AVAX ($1.8112)
2025/03/21 15:25:31 Transaction sent: 0xa7f376b2c527150cb5c4712a8f55039ff60b5dcf4177534aa734b08344bba8eb (size: 10000 bytes, security: 1)
2025/03/21 15:25:36 Transaction 0xa7f376b2c527150cb5c4712a8f55039ff60b5dcf4177534aa734b08344bba8eb costs calculated: gas: 7495073, cost: 0.18737682 AVAX ($3.4815)
2025/03/21 15:25:42 Failed to upload data (20000 bytes, security 1): failed to send transaction: exceeds block gas limit: tx gas (17766795) > current max gas (15000000)
2025/03/21 15:25:42 Failed to upload data (40000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
2025/03/21 15:25:43 Failed to upload data (80000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
2025/03/21 15:25:43 Failed to upload data (160000 bytes, security 1): failed to estimate gas: gas required exceeds allowance (15000000)
